Wall time,Step,Value
1672359722.9822104,49,3.6700210571289062
1672359770.3021507,99,3.9406678676605225
1672359816.622588,149,3.6526341438293457
1672359866.8372395,199,3.4836580753326416
1672360041.5165267,249,3.2164719104766846
1672360098.1189756,299,3.0012950897216797
1672360152.5342755,349,3.414416790008545
1672360193.898978,399,2.9436466693878174
1672360432.2279854,499,3.0099480152130127
1672360489.7205486,549,3.072580337524414
1672360540.9760823,599,3.0733096599578857
1672360642.699456,699,3.0660109519958496
1672360811.5120747,749,3.699941396713257
1672360872.492806,799,3.0378894805908203
1672360921.7074983,849,2.6769495010375977
1672360964.5045187,899,2.5280959606170654
1672361027.819,949,2.7417638301849365
1672361199.2816105,999,2.9073984622955322
1672361262.4585137,1049,2.835550308227539
1672361310.2995634,1099,2.6423630714416504
1672361360.0089114,1149,2.827910900115967
1672361416.4103975,1199,2.537078857421875
1672361658.283276,1299,2.6689610481262207
1672361695.4479446,1349,2.629432439804077
1672361741.911654,1399,2.679046869277954
1672361802.995182,1449,2.891211748123169
1672361978.1914818,1499,2.286998987197876
1672362046.5347977,1549,2.506988048553467
1672362093.4942777,1599,2.7151410579681396
1672362142.5883517,1649,2.6033997535705566
1672362202.5767941,1699,2.342101573944092
1672362377.123635,1749,2.721526861190796
1672362432.99676,1799,2.406231641769409
1672362482.7250504,1849,2.8819923400878906
1672362524.3075302,1899,2.474945545196533
1672362583.3360941,1949,2.6238529682159424
1672362752.901008,1999,2.54624342918396
1672362805.7099593,2049,2.4778900146484375
1672362905.030708,2149,2.7363369464874268
1672362951.9700232,2199,2.2027676105499268
1672363136.2847283,2249,2.611302137374878
1672363179.5532446,2299,2.5320568084716797
1672363222.9167786,2349,2.2947709560394287
1672363282.8202965,2399,2.554215431213379
1672363319.8830948,2449,2.2023398876190186
1672363509.336263,2499,2.5327038764953613
1672363553.8665812,2549,2.1700809001922607
1672363600.674081,2599,2.133866786956787
1672363659.4868193,2649,2.4177820682525635
1672363700.620915,2699,2.8114631175994873
1672363881.8244977,2749,2.5068044662475586
1672363928.2614594,2799,2.292773723602295
1672364027.813857,2899,2.422767400741577
1672364071.9305024,2949,2.0481648445129395
1672364311.637188,3049,2.554189443588257
1672364345.4191785,3099,2.5690157413482666
1672364403.1117344,3149,2.1451594829559326
1672364441.0914342,3199,2.5430614948272705
1672364682.340592,3299,2.0907795429229736
1672364716.8998272,3349,2.229268789291382
1672364773.6569602,3399,2.139723062515259
1672364805.789007,3449,2.398954391479492
1672365002.1251822,3499,2.0392303466796875
1672365053.9212008,3549,2.0214321613311768
1672365087.6182528,3599,2.315660238265991
1672365146.2828138,3649,1.965875267982483
1672365177.8612685,3699,2.6664061546325684
1672365382.8646498,3749,2.2556803226470947
1672365423.642127,3799,2.326878786087036
1672365459.379685,3849,2.122407913208008
1672365516.1044383,3899,1.977597951889038
1672365552.7909122,3949,1.8469171524047852
1672365752.405653,3999,2.356381416320801
1672365793.737918,4049,2.3110768795013428
1672365842.5431485,4099,2.375070095062256
1672365886.7989566,4149,2.1592814922332764
1672366062.5134265,4199,2.2824060916900635
1672366123.4970949,4249,1.9309190511703491
1672366167.3541358,4299,2.4252030849456787
1672366209.2325249,4349,2.0246434211730957
1672366255.9344492,4399,1.9743893146514893
1672366429.6706064,4449,2.7103848457336426
1672366491.4453065,4499,2.714357376098633
1672366536.3353882,4549,1.6468008756637573
1672366633.440397,4649,2.186828851699829
1672366802.1305149,4699,2.304828643798828
1672366860.7597136,4749,1.7526013851165771
1672366909.9378095,4799,2.18815279006958
1672366954.341688,4849,2.4411308765411377
1672367178.1462784,4949,2.8236474990844727
1672367242.3366065,4999,2.602247476577759
1672367283.7393212,5049,2.6339282989501953
1672367323.5275888,5099,2.270486354827881
1672367550.7079713,5199,2.762401580810547
1672367616.3055913,5249,3.0629265308380127
1672367653.5181463,5299,2.3563284873962402
1672367701.7226453,5349,2.3358325958251953
1672367752.035474,5399,2.387070894241333
1672367925.3008542,5449,2.1509575843811035
1672367987.4948769,5499,2.1408910751342773
1672368031.5662086,5549,2.1273012161254883
1672368073.7827153,5599,2.1276941299438477
1672368126.5312781,5649,1.9986133575439453
1672368352.1603718,5749,1.9714964628219604
1672368402.5209315,5799,1.9934110641479492
1672368442.8555346,5849,2.64862322807312
1672368498.1106699,5899,2.392732858657837
1672368674.341281,5949,2.541844129562378
1672368725.3876379,5999,2.035609483718872
1672368774.6245215,6049,2.0932223796844482
1672368820.0064962,6099,2.3178505897521973
1672368870.9550045,6149,2.3029918670654297
1672369057.5105996,6199,2.2354493141174316
1672369147.7964365,6299,1.7202345132827759
1672369198.9634817,6349,1.865383505821228
1672369242.407029,6399,2.113380193710327
1672369429.3688772,6449,1.8705317974090576
1672369477.3913543,6499,1.8138511180877686
1672369518.7989264,6549,1.7463375329971313
1672369579.9694097,6599,2.164565086364746
1672369621.1941247,6649,2.051286458969116
1672369854.9379592,6749,1.9739294052124023
1672369950.5433106,6849,1.8867831230163574
1672369990.4741254,6899,1.6867914199829102
1672370176.3407981,6949,2.7618510723114014
1672370225.740619,6999,2.064777135848999
1672370270.3360918,7049,1.6837942600250244
1672370322.9101708,7099,1.6900449991226196
1672370364.4604232,7149,1.9343332052230835
1672370543.3040998,7199,2.2003417015075684
1672370609.4110157,7249,2.224372386932373
1672370644.1199212,7299,1.9406840801239014
1672370700.320474,7349,1.5062110424041748
1672370744.114617,7399,2.1686031818389893
1672370927.6616669,7449,1.9697226285934448
1672371012.0966864,7549,2.476898670196533
1672371103.9543085,7649,2.135209083557129
1672371294.3392365,7699,2.2062861919403076
1672371349.3419127,7749,1.9790812730789185
1672371441.5470257,7849,2.2900307178497314
1672371477.4470646,7899,1.8249375820159912
1672371677.9475555,7949,2.254258394241333
1672371718.8995526,7999,2.077483892440796
1672371765.1670525,8049,1.8672317266464233
1672371814.0460687,8099,2.254375696182251
1672371848.4787378,8149,1.807021141052246
1672372047.1141248,8199,2.0630500316619873
1672372086.9492385,8249,1.77259361743927
1672372136.3833027,8299,2.036410331726074
1672372183.4947598,8349,1.9081308841705322
1672372415.3024454,8449,2.095093011856079
1672372462.6736412,8499,1.931979775428772
1672372504.984225,8549,1.6224846839904785
1672372551.561909,8599,1.9244109392166138
1672372732.3435807,8649,2.0541296005249023
1672372794.3093314,8699,2.4526357650756836
1672372839.0970538,8749,2.0110349655151367
1672372884.0903056,8799,2.2422120571136475
1672372940.7773433,8849,1.499329924583435
